ID,claim_ID,category,expenseDate,amount,currency,description,policyViolation,createdAt,createdBy,modifiedAt,modifiedBy
f1000000-0001-4000-f000-000000000001,c1000000-0001-4000-e000-000000000001,TRAVEL,2024-01-10,4200.00,INR,Flight Mumbai-Bangalore return,false,2024-01-10T10:00:00Z,aarav.joshi,2024-01-10T10:00:00Z,aarav.joshi
f1000000-0002-4000-f000-000000000002,c1000000-0001-4000-e000-000000000001,HOTEL,2024-01-10,7500.00,INR,Hotel stay 2 nights Trident Mumbai,false,2024-01-10T10:05:00Z,aarav.joshi,2024-01-10T10:05:00Z,aarav.joshi
f1000000-0003-4000-f000-000000000003,c1000000-0001-4000-e000-000000000001,FOOD,2024-01-11,850.00,INR,Team lunch with client,false,2024-01-11T13:00:00Z,aarav.joshi,2024-01-11T13:00:00Z,aarav.joshi
f1000000-0004-4000-f000-000000000004,c1000000-0001-4000-e000-000000000001,TRANSPORT,2024-01-10,650.00,INR,Cab airport to hotel,false,2024-01-10T10:10:00Z,aarav.joshi,2024-01-10T10:10:00Z,aarav.joshi
f1000000-0005-4000-f000-000000000005,c1000000-0001-4000-e000-000000000001,FOOD,2024-01-12,600.00,INR,Dinner at client dinner,false,2024-01-12T20:00:00Z,aarav.joshi,2024-01-12T20:00:00Z,aarav.joshi
f1000000-0006-4000-f000-000000000006,c1000000-0002-4000-e000-000000000002,TRAVEL,2024-01-15,5500.00,INR,Bus tickets for team offsite,false,2024-01-15T09:00:00Z,sneha.iyer,2024-01-15T09:00:00Z,sneha.iyer
f1000000-0007-4000-f000-000000000007,c1000000-0002-4000-e000-000000000002,HOTEL,2024-01-15,16000.00,INR,Hotel Vivanta Pune 2 nights,false,2024-01-15T09:05:00Z,sneha.iyer,2024-01-15T09:05:00Z,sneha.iyer
f1000000-0008-4000-f000-000000000008,c1000000-0002-4000-e000-000000000002,FOOD,2024-01-16,4200.00,INR,Team meals over 2 days,false,2024-01-16T12:00:00Z,sneha.iyer,2024-01-16T12:00:00Z,sneha.iyer
f1000000-0009-4000-f000-000000000009,c1000000-0002-4000-e000-000000000002,OFFICE,2024-01-16,3800.00,INR,Workshop materials and stationery,false,2024-01-16T09:10:00Z,sneha.iyer,2024-01-16T09:10:00Z,sneha.iyer
f1000000-0010-4000-f000-000000000010,c1000000-0002-4000-e000-000000000002,TRANSPORT,2024-01-17,2500.00,INR,Cab rentals Pune city,false,2024-01-17T09:00:00Z,sneha.iyer,2024-01-17T09:00:00Z,sneha.iyer
f1000000-0011-4000-f000-000000000011,c1000000-0003-4000-e000-000000000003,TRAVEL,2024-01-20,8500.00,INR,Flight Pune-Delhi return economy,false,2024-01-20T08:30:00Z,rohan.kulkarni,2024-01-20T08:30:00Z,rohan.kulkarni
f1000000-0012-4000-f000-000000000012,c1000000-0003-4000-e000-000000000003,HOTEL,2024-01-21,22000.00,INR,Hotel The Leela Delhi 3 nights,false,2024-01-21T08:35:00Z,rohan.kulkarni,2024-01-21T08:35:00Z,rohan.kulkarni
f1000000-0013-4000-f000-000000000013,c1000000-0003-4000-e000-000000000003,FOOD,2024-01-22,3200.00,INR,Meals 3 days,false,2024-01-22T12:00:00Z,rohan.kulkarni,2024-01-22T12:00:00Z,rohan.kulkarni
f1000000-0014-4000-f000-000000000014,c1000000-0003-4000-e000-000000000003,TRANSPORT,2024-01-20,2100.00,INR,Metro and cab expenses Delhi,false,2024-01-20T08:40:00Z,rohan.kulkarni,2024-01-20T08:40:00Z,rohan.kulkarni
f1000000-0015-4000-f000-000000000015,c1000000-0003-4000-e000-000000000003,OFFICE,2024-01-23,9400.00,INR,Audit documentation and printing,false,2024-01-23T08:30:00Z,rohan.kulkarni,2024-01-23T08:30:00Z,rohan.kulkarni
f1000000-0016-4000-f000-000000000016,c1000000-0004-4000-e000-000000000004,TRAVEL,2024-01-22,5200.00,INR,Train Pune-Hyderabad,false,2024-01-22T10:00:00Z,meera.pillai,2024-01-22T10:00:00Z,meera.pillai
f1000000-0017-4000-f000-000000000017,c1000000-0004-4000-e000-000000000004,HOTEL,2024-01-23,14800.00,INR,Hotel Taj Krishna Hyderabad 2 nights,true,2024-01-23T10:05:00Z,meera.pillai,2024-01-23T10:05:00Z,meera.pillai
f1000000-0018-4000-f000-000000000018,c1000000-0004-4000-e000-000000000004,FOOD,2024-01-24,2400.00,INR,Meals with vendor team,false,2024-01-24T12:00:00Z,meera.pillai,2024-01-24T12:00:00Z,meera.pillai
f1000000-0019-4000-f000-000000000019,c1000000-0004-4000-e000-000000000004,TRANSPORT,2024-01-22,900.00,INR,Cab bookings Hyderabad,false,2024-01-22T10:10:00Z,meera.pillai,2024-01-22T10:10:00Z,meera.pillai
f1000000-0020-4000-f000-000000000020,c1000000-0004-4000-e000-000000000004,OFFICE,2024-01-25,4500.00,INR,Vendor contract printing and courier,false,2024-01-25T10:00:00Z,meera.pillai,2024-01-25T10:00:00Z,meera.pillai
f1000000-0021-4000-f000-000000000021,c1000000-0005-4000-e000-000000000005,TRAVEL,2024-02-01,12000.00,USD,Flight Chennai conference return,false,2024-02-01T09:00:00Z,karan.gupta,2024-02-01T09:00:00Z,karan.gupta
f1000000-0022-4000-f000-000000000022,c1000000-0005-4000-e000-000000000005,HOTEL,2024-02-02,18500.00,USD,Hotel Marriott Chennai 2 nights,false,2024-02-02T09:05:00Z,karan.gupta,2024-02-02T09:05:00Z,karan.gupta
